,tasks,qnli_accuracy,mnli_accuracy,trec_coarse_accuracy,dbpedia_accuracy,sst2_accuracy,yelp_polarity_accuracy
0,dbpedia,,,,0.9912142857142857,,
1,dbpedia qnli,0.0662639575324913,,,0.9890714285714286,,
2,dbpedia sst2,,,,0.9801857142857143,0.2763761467889908,
3,dbpedia trec_coarse,,,0.072,0.9910142857142857,,
4,dbpedia yelp_polarity,,,,0.137,,0.8611052631578947
5,mnli,,0.8548140601120734,,,,
6,mnli dbpedia,,0.4109016811003566,,0.1196,,
7,mnli qnli,0.8293977667948014,0.782475802343352,,,,
8,mnli sst2,,0.8405501782985226,,,0.5137614678899083,
9,mnli trec_coarse,,0.8529801324503311,0.368,,,
10,mnli yelp_polarity,,0.4358634742740703,,,,0.9155
11,qnli,0.9311733479773019,,,,,
12,qnli sst2,0.9136005857587406,,,,0.5091743119266054,
13,qnli trec_coarse,0.9240344133260113,,0.184,,,
14,sst2,,,,,0.9254587155963303,
15,trec_coarse,,,0.952,,,
16,trec_coarse sst2,,,0.032,,0.9025229357798165,
17,yelp_polarity,,,,,,0.9672105263157895
18,yelp_polarity qnli,0.6165110745011898,,,,,0.9506842105263158
19,yelp_polarity sst2,,,,,0.9048165137614679,0.9652894736842105
20,yelp_polarity trec_coarse,,,0.088,,,0.9651578947368421
