,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9901714285714286,,,,,
1,dbpedia mnli,0.07155714285714286,0.6411614875191034,,,,
2,mnli,,0.8468670402445236,,,,
3,qnli,,,0.9308072487644151,,,
4,qnli dbpedia,0.984,,0.05399963390078711,,,
5,qnli mnli,,0.7923586347427407,0.8608822991030569,,,
6,qnli sst2,,,0.919092073952041,0.5091743119266054,,
7,sst2,,,,0.926605504587156,,
8,sst2 dbpedia,0.9885142857142857,,,0.12041284403669725,,
9,sst2 mnli,,0.8471726948548141,,0.5447247706422018,,
10,trec_coarse,,,,,0.96,
11,trec_coarse dbpedia,0.9607142857142857,,,,0.088,
12,trec_coarse mnli,,0.8454406520631687,,,0.328,
13,trec_coarse qnli,,,0.9304411495515285,,0.184,
14,trec_coarse sst2,,,,0.8979357798165137,0.024,
15,trec_coarse yelp_polarity,,,,,0.084,0.9668157894736842
16,yelp_polarity,,,,,,0.9685
17,yelp_polarity dbpedia,0.11682857142857143,,,,,0.6997368421052632
18,yelp_polarity mnli,,0.478349465104432,,,,0.9257105263157894
19,yelp_polarity qnli,,,0.6161449752883031,,,0.9649473684210527
20,yelp_polarity sst2,,,,0.9002293577981652,,0.9617105263157895
